商品ID,商品自定义ID,商品条形码,商品名称,货架号,所属品牌,前台一级分类,前台二级分类,后台一级分类,后台二级分类,后台三级分类,商品属性,销售价格,库存数量,是否上线,每单限购,商品类型,重量(g)
15761346640730758,,6925489700071,伯力爵椰蓉味,,伯力爵,休闲零食,饼干点心,休闲食品,糕点类,其他中式糕点,,16.5,4,上线,不限购,标品,97
15761346640730757,,4897058471526,小猪佩奇牛奶曲奇,,亿智,休闲零食,饼干点心,休闲食品,饼干类,曲奇饼干,,35,3,上线,不限购,标品,1000
15761346640730760,,6924546000826,小猪佩奇巧克力味注心饼干,,亿智,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,15.9,5,上线,不限购,标品,360
157613454507124677,,6920907808117,好丽友好多鱼浓香茄汁味33g,,好丽友,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,4.9,4,下线,不限购,标品,33
157613454507124686,,6934928005677,泡吧小脆番茄味,,泡吧,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,3,7,上线,不限购,标品,38
157613454407124190,,6913689601946,五香料酒,,玉兔,粮油副食,调味料,调味品,调味汁,料酒,,6,10,上线,不限购,非标品,350
157613454507124570,,6950881299212,布鲁托海盐黄油小面包,,布鲁托,休闲零食,饼干点心,烘焙,面包类,餐包/汉堡类,,7,4,上线,不限购,非标品,108
157613454507124697,,6914782122727,熊博士混合酸奶味果趣星座棒袋装,,熊博士,休闲零食,即食食品,休闲食品,糖果类,棒棒糖,,5.8,3,上线,不限购,标品,48
157613454407124158,,6913689601663,清香米醋,,玉兔,粮油副食,调味料,调味品,调味汁,米醋,,14,5,上线,不限购,非标品,500
157613454507124705,,6935284415285,40火药辣条,,卫龙,休闲零食,即食食品,休闲食品,豆制品,面筋类,,5.8,3,上线,不限购,标品,40
157613454407124148,,6924546000802,小猪佩奇草莓味注心饼干,,亿智,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,15.9,5,上线,不限购,标品,360
157613454407124170,,6917751461001,妙洁海绵百洁布2+1特惠装1*1,,妙洁,清洁洗护,清洁护理,居家日用,清洁工具,清洁用布,,6.6,10,上线,不限购,标品,10
157613454407124149,,6901668062086,趣多多巧克力曲奇饼干95g,,趣多多,休闲零食,饼干点心,休闲食品,饼干类,燕麦/巧克力饼干,,6.5,9,上线,不限购,标品,95
157613454507124674,,6920907808032,好丽友好多鱼鲜香海苔味33g,,好丽友,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,4.9,4,下线,不限购,标品,33
157613454507124702,,6914782122697,熊博士混合可乐味果趣星座棒袋装,,熊博士,休闲零食,即食食品,休闲食品,糖果类,棒棒糖,,5.8,3,上线,不限购,标品,48
157613454507124623,,6935284412178,65g大面筋,,卫龙,休闲零食,即食食品,豆制品,豆制干货类,面筋,,4.8,5,上线,不限购,标品,65
157613454507124618,,6924546001182,亿智汪汪队注心饼干草莓味,,亿智,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,12.9,3,上线,不限购,标品,360
157613454407124141,,6924546000543,小猪佩奇牛奶曲奇饼干,,亿智,休闲零食,饼干点心,休闲食品,饼干类,曲奇饼干,,13.8,7,上线,不限购,标品,360
157613454407124135,,6917751440174,妙洁车载垃圾袋（特小号）50只,,妙洁,日用百货,,居家日用,清洁工具,垃圾袋,,12,11,上线,不限购,标品,50
157613454507124496,,8993175540643,丽芝士纳宝帝奶酪味威化饼干 145g,,丽芝士,休闲零食,饼干点心,休闲食品,饼干类,威化饼干,,9.9,5,上线,不限购,非标品,145
157613454307124073,,6955748500029,卓玛泉天然冰川水330ml,,其他品牌,酒水饮料,矿泉水,饮料,饮用水,矿泉水,,3,546,上线,不限购,标品,300
157613454407124151,,6902538005141,脉动水蜜桃味600ml,,脉动,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,12,上线,不限购,标品,600
157613454507124692,,6934928006247,泡吧小脆椒盐香辣味,,泡吧,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,3,7,上线,不限购,标品,38
157613454407124204,,6920616312097,旺旺雪饼84g,,旺旺,休闲零食,饼干点心,休闲食品,膨化食品,米饼/雪饼,,6,7,上线,不限购,标品,84
157613454507124565,,6936022101064,湖珍6枚咸鸭蛋336g,,湖珍,休闲零食,即食食品,肉禽蛋类,蛋品,蛋品礼盒,,15.5,0,上线,不限购,非标品,336
157613454407124185,,6920907801323,好丽友提拉米苏咖啡芝士味138g,,好丽友,休闲零食,饼干点心,休闲食品,糕点类,派,,12.5,4,上线,不限购,标品,138
157613454307124101,,6944312683626,鸥露本色手帕纸 4层,,鸥露,纸类用品,面巾/餐巾纸,居家日用,纸品湿巾,手帕纸,,1.2,803,上线,不限购,非标品,30
157613454307124077,,6944312690396,鸥露本色卫生纸（无芯1100g）,,鸥露,纸类用品,卫生纸,居家日用,纸品湿巾,抽纸,,30,16,上线,不限购,标品,1100
157613454307124096,,4897036692202,Monster(魔爪)柑橘味(白魔爪)330ml,,魔爪,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,6.8,111,上线,不限购,标品,330
157613454507124689,,6934928004373,泡吧小脆鸡肉味,,泡吧,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,3,7,上线,不限购,标品,38
157613454507124671,,6914782122703,熊博士混合水果味果趣星座棒袋装,,熊博士,休闲零食,即食食品,休闲食品,糖果类,果味/果肉果冻,,5.8,3,上线,不限购,标品,48
157613454507124660,,6924160715205,无穷 酱卤鸭小腿,,无穷,休闲零食,即食食品,休闲食品,肉干肉脯,鸭肉类,,17,0,上线,不限购,标品,90
157613454507124646,,6950881299502,布鲁托纯蛋糕,,布鲁托,休闲零食,饼干点心,烘焙,蛋糕类,乳酪蛋糕,,7,0,上线,不限购,非标品,120
157613454507124683,,6920698400378,康师傅超爽桶红烧牛肉面(桶)145g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,5.5,0,上线,不限购,标品,145
157613454507124680,,6936555100121,芬达汽水橙味500ml,,可口可乐,酒水饮料,综合饮料,饮料,碳酸饮料,加味汽水,,3.5,24,上线,不限购,非标品,500
157613454507124657,,6970417723318,小白心里软-暖暖面包（酸奶味）2枚装,,慕兰卡,休闲零食,饼干点心,其他,其他,其他,,7,3,上线,不限购,非标品,380
157613454407124161,,6925489700088,伯力爵白巧克力味,,伯力爵,休闲零食,饼干点心,休闲食品,巧克力,白巧克力,,16.6,5,上线,不限购,标品,103
157613454507124573,,6920616311113,旺旺仙贝52g,,旺旺,休闲零食,饼干点心,休闲食品,膨化食品,米饼/雪饼,,6.5,7,上线,不限购,标品,52
157613454407124147,,6921168500956,农夫水溶柠檬味C100445ml,,农夫山泉,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,5,13,上线,不限购,标品,445
157613454407124201,,6924546001199,亿智汪汪队注心饼干巧克力味,,亿智,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,12.9,4,上线,不限购,标品,360
157613454407124193,,6941241591596,天下第一村烧饼金边礼盒65g,,天下第一村,休闲零食,饼干点心,其他,其他,其他,,82,0,上线,不限购,非标品,520
157613454407124150,,6950881299472,布鲁托纯吐司（原味）,,布鲁托,休闲零食,饼干点心,烘焙,面包类,吐司类,,7,9,上线,不限购,非标品,105
157613454507124502,,6925303773229,统一来一桶卤香牛肉面115g,,统一,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,4.5,13,上线,不限购,标品,113
157613454507124606,,8993175537469,丽巧克纳宝帝巧克力味威化饼干 145g,,丽芝士,休闲零食,饼干点心,休闲食品,饼干类,威化饼干,,9.9,4,上线,不限购,标品,145
157613454507124559,,6925303730574,统一阿萨姆奶茶500ml,,统一,酒水饮料,综合饮料,饮料,乳品饮料,奶茶饮料,,4.8,10,上线,不限购,标品,500
157613454407124181,,6903252060263,康师傅经典香辣牛肉面100g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,3,20,上线,不限购,标品,102
157613454507124551,,6970417723257,小白心里软-小口袋面包（酸奶味）4枚装,,慕兰卡,休闲零食,饼干点心,休闲食品,糕点类,面包类,,8,8,上线,不限购,非标品,500
157613454407124155,,6902538007367,脉动维生素饮料海盐青芒600ml,,脉动,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,15,上线,不限购,标品,600
157613454407124197,,6902538007169,脉动维生素饮料椰子菠萝600ml,,脉动,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,12,上线,不限购,标品,600
157613454507124562,,6934706601459,鲶鱼沟小米,,鲶鱼沟,粮油副食,米面,水产,淡水鱼类,鲶鱼,,9.9,5,上线,不限购,非标品,410
157613454507124613,,6901754040936,乌江脆口榨菜150g,,乌江,粮油副食,腌渍酱品,调味品,酱菜类,蔬菜类,,4.5,10,上线,不限购,标品,150
157613454507124557,,6917751430670,妙洁加韧耐用平底垃圾袋(30*3卷)45cm*50cm,,妙洁,日用百货,,居家日用,清洁工具,垃圾袋,,16.8,3,上线,不限购,标品,125
157613454507124610,,6935855700475,38g都市牧场爽口含片西瓜味,,都市牧场,休闲零食,糖果类,休闲食品,糖果类,润喉糖,,8.5,3,上线,不限购,标品,38
157613454507124575,,6932873825395,A&S棉柔透气护翼迷你巾8片,,A&S,纸类用品,卫生用品,个护清洁,卫生护理,卫生巾,,7.9,6,上线,不限购,非标品,300
157613454507124602,,8993175545082,纳宝帝软心趣布朗尼风味注心曲奇14g,,丽芝士,休闲零食,饼干点心,休闲食品,饼干类,曲奇饼干,,8,4,上线,不限购,非标品,14
157613454307124113,,6959479300439,沃隆每日坚果(B)175g,,沃隆,休闲零食,干果炒货,休闲食品,坚果炒货,混合坚果/坚果礼包,,42,10,上线,不限购,标品,175
157613454307124057,,6944312683503,鸥露本色面巾纸390张 3层,,鸥露,纸类用品,面巾/餐巾纸,居家日用,纸品湿巾,抽纸,,7.2,453,上线,不限购,标品,100
157613454307124116,,6920908402017,可口可乐500ml,,可口可乐,酒水饮料,综合饮料,饮料,碳酸饮料,可乐,,3.5,69,上线,不限购,标品,500
157613454307124109,,6923644285074,蒙牛特仑苏有机纯牛奶250ml*12,,蒙牛,乳品饮料,,乳制品,常温奶,常温全脂牛奶,,99,0,上线,不限购,标品,250
157613454307124053,,6920202888883,红牛维他命饮料250ml,,红牛,酒水饮料,综合饮料,饮料,运动机能饮料,机能保健饮料,,6,252,上线,不限购,标品,250
157613454307124131,,6917878030623,雀巢咖啡丝滑拿铁瓶装268ml,,雀巢,酒水饮料,综合饮料,饮料,咖啡饮料,咖啡/可可饮料,,6.5,16,上线,不限购,标品,268
157613454407124146,,6917751420169,妙洁灵巧型绒里手套M1*1,,妙洁,日用百货,,居家日用,清洁工具,家务手套,,10.8,8,上线,不限购,标品,125
157613454407124136,,6903148231234,护舒宝云感棉极薄量多日用/夜用8片卫生巾,,护舒宝,纸类用品,卫生用品,服饰鞋包,服饰配件,围巾/丝巾/披肩,,12,11,上线,不限购,标品,300
157613454407124142,,6924546000703,小猪佩奇蔓越莓曲奇饼干,,亿智,休闲零食,饼干点心,休闲食品,饼干类,曲奇饼干,,13.8,7,上线,不限购,标品,360
157613454307124065,,6922307203332,崂山白花蛇草水瓶装330ml,,崂山,酒水饮料,矿泉水,饮料,饮用水,矿泉水,,5,292,上线,不限购,标品,330
157613454307124128,,6951239709346,国杞天香枸杞干果(特优级)220g,,国杞天香,南北干货,枸杞阿胶,粮油米面,南北干货,枸杞,规格:220g  ,48,4,上线,不限购,标品,200
157613454407124140,,6917751461148,妙洁金属钢丝球1*1,,妙洁,清洁洗护,清洁护理,居家日用,清洁工具,钢丝球,,9.5,11,上线,不限购,标品,300
157613454407124138,,6903252033700,康师傅经典小鸡炖蘑菇面93g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,3,29,上线,不限购,标品,100
157613454407124143,,6902538004045,脉动青柠味600ml,,脉动,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,18,上线,不限购,标品,600
157613454407124134,,6903148240908,欧乐B牙龈专护(持续修护清新)140G,,欧乐-B,清洁洗护,牙膏牙刷,个护清洁,口腔护理,牙膏,,44,4,上线,不限购,标品,140
157613454407124137,,6925332604068,米老头米通芝麻味400g,,米老头,休闲零食,膨化食品,休闲食品,膨化食品,米通麦通,,18,7,上线,不限购,标品,400
157613454407124133,,6907992512570,伊利安慕希酸奶205g,,伊利,乳品饮料,,乳制品,常温酸奶,常温原味酸奶,,6,24,上线,不限购,标品,205
157613454307124118,,6903148237366,欧乐B牙龈专护牙膏(对抗红肿出血)140克,,欧乐-B,清洁洗护,牙膏牙刷,个护清洁,口腔护理,牙膏,,44,5,上线,不限购,标品,140
157613454407124144,,6902538007381,脉动维生素饮料仙人掌青橘600ml,,脉动,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,18,上线,不限购,标品,600
157613454307124068,,6944312690372,鸥露本色卫生纸(有芯150g）,,鸥露,纸类用品,卫生纸,居家日用,纸品湿巾,卷筒纸,,4.2,470,上线,不限购,非标品,150
157613454307124062,,6913936052606,景阳春六年红坛35°500ml,,景阳春,酒水饮料,酒类,其他,其他,其他,,42,40,上线,不限购,非标品,500
157613454407124139,,6925303754952,统一小茗同学冷泡茶青柠红茶480ml,,统一,酒水饮料,综合饮料,饮料,茶饮料,红茶饮料,,5.5,16,上线,不限购,标品,480
157613454307124129,,6921168504015,尖叫多肽型运动饮料550ml,,农夫山泉,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,41,上线,不限购,标品,550
157613454307124122,,6932522009633,公社联盟零食大礼包1*1,,公社联盟,休闲零食,蜂蜜蜜饯,其他,其他,其他,,105,0,上线,不限购,非标品,3000
157613454307124130,,2000101900184,咏鹅至尊记忆棉腰靠+颈枕2件套,,其他,日用百货,,家居家装,软家具,靠垫,,226,0,上线,不限购,非标品,200
157613454407124145,,9555030107614,碧富牌薄荷柠檬味糖果,,碧富牌,休闲零食,糖果类,休闲食品,糖果类,润喉糖,,6.6,13,上线,不限购,非标品,15
15761343830744803,,6952882318343,天鹭无花果脆20g,,天鹭,休闲零食,干果炒货,水果,无花果类,无花果,,9,3,上线,不限购,非标品,20
15761343820744024,,6911988005229,达利园手指饼115g,,达利园,休闲零食,饼干点心,休闲食品,饼干类,苏打饼干,,4,10,上线,不限购,标品,115
15761343840745088,,6902265610014,海天白米醋450ml,,海天,粮油副食,调味料,调味品,调味汁,米醋,,7.5,3,上线,不限购,标品,450
15761343810743788,,6920907813906,好丽友点点酱意式番茄酱味70g,,好丽友,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,5.9,6,上线,不限购,标品,70
15761343820744291,,6901668004833,奥利奥巧轻脆薄片夹心浓情提拉米苏味95g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,8,3,上线,不限购,标品,95
15761343810743614,,6914782203327,徐福记凤梨酥184g,,徐福记,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,13,4,上线,不限购,标品,182
15761343840745154,,6970711660012,水杉精制碘盐350g,,水杉,粮油副食,调味料,调味品,调味料,食用盐,,2,12,上线,不限购,非标品,350
15761343810743458,,6914782082441,徐福记沙琪玛芝麻香酥160g,,徐福记,休闲零食,饼干点心,休闲食品,糕点类,沙琪玛,,14,4,上线,不限购,标品,160
15761343840745405,,6946995500160,福佳香椰麦之恋面包120g,,其他,休闲零食,饼干点心,烘焙,面包类,餐包/汉堡类,,6,4,上线,不限购,非标品,120
15761343830744596,,6952299466514,尚吧小腿王盐h味35g,,尚吧,方便食品,泡面伴侣,其他,其他,其他,,2.5,8,上线,不限购,非标品,35
15761343830744951,,6920907800913,好丽友派(巧克力味)68g,,好丽友,休闲零食,饼干点心,休闲食品,糕点类,派,,3.9,5,上线,不限购,标品,68
15761343830744536,,6919892656209,康师傅甜酥夹心饼干草莓酸奶味80g,,康师傅,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,4.5,11,上线,不限购,标品,80
15761343790742647,,6932522000982,公社联盟山楂饴100g,,公社联盟,休闲零食,蜂蜜蜜饯,水果,山楂类,山楂,,10.8,0,上线,不限购,非标品,100
15761343810743266,,6921168504022,尖叫运动饮料纤维型550ml,,农夫山泉,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,9,上线,不限购,标品,550
15761343830744555,,6924693000588,元之源牛蹄筋香辣75g,,其他,休闲零食,即食食品,休闲食品,肉干肉脯,牛肉类,,15,6,上线,不限购,非标品,118
15761343830744614,,6927462204019,金锣加钙王40g*10,,金锣,方便食品,泡面伴侣,便利食品,方便速食,火腿肠,,13.9,0,上线,不限购,标品,400
15761343830744780,,6911988000279,达利园好吃点榛仁酥146g,,好吃点,休闲零食,饼干点心,休闲食品,饼干类,营养/消化饼干,,5,4,上线,不限购,标品,146
15761343830744447,,6901294179561,六神清凉香皂特惠三块装（绿茶+甘草）125g,,六神,清洁洗护,洗发沐浴,个护清洁,洁肤,香皂,,14,0,上线,不限购,标品,125
15761343830744684,,6925332600053,米老头雪花煎卷花生味150g,,米老头,休闲零食,饼干点心,休闲食品,糕点类,蛋卷类,,6.5,3,上线,不限购,标品,150
15761343830744649,,6919892880208,康师傅美味酥什锦烧烤味85g,,康师傅,休闲零食,饼干点心,休闲食品,饼干类,苏打饼干,,4,6,上线,不限购,标品,85
15761343830744716,,6935855702110,都市牧场西瓜味无糖薄荷糖21.8g,,都市牧场,休闲零食,糖果类,休闲食品,糖果类,润喉糖,,6.9,4,上线,不限购,标品,22
15761343830744638,,6932522000999,公社联盟山楂片100g,,公社联盟,休闲零食,蜂蜜蜜饯,休闲食品,蜜饯果干类,山楂制品,,10.8,3,上线,不限购,非标品,100
15761343830744608,,6946995500689,福佳香英伦麦琪夹心面包132g,,其他,休闲零食,饼干点心,休闲食品,糕点类,面包类,,6,0,上线,不限购,标品,132
15761343820744281,,6914782202511,徐福记米果卷咸香芝士味90g,,徐福记,休闲零食,饼干点心,休闲食品,膨化食品,米通麦通,,6.9,4,上线,不限购,标品,90
15761343750741131,,6935490261836,清嘴双果含片芒果+香蕉6.9g,,其他,休闲零食,糖果类,休闲食品,糖果类,润喉糖,,7.8,13,上线,不限购,非标品,7
15761343830744544,,6901668005748,奥利奥夹心饼干原味58g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,4.5,5,上线,不限购,标品,58
15761343840744986,,6934364807262,米老头多谷果子蛋黄味160g,,米老头,休闲零食,饼干点心,休闲食品,膨化食品,米通麦通,,10,6,上线,不限购,标品,160
15761343840745200,,6901586105094,威猛先生84除菌液700g,,威猛先生,清洁洗护,清洁护理,日化用品,家居清洁品,消毒液,,9,0,上线,不限购,标品,700
15761343830744602,,6921204802204,欣和豆瓣酱300g,,欣和,粮油副食,调味料,调味品,调味酱,豆瓣酱,,8.9,3,上线,不限购,标品,300
15761343840745164,,6944839992065,康师傅茉莉清茶1L,,康师傅,酒水饮料,综合饮料,饮料,茶饮料,花茶饮料,,4.5,4,上线,不限购,标品,1000
15761343820743912,,6921168532025,农夫果园混合果汁菠萝+芒果+番石榴500ml,,农夫山泉,酒水饮料,综合饮料,饮料,果汁饮料,混合果汁饮料,,5,5,上线,不限购,标品,500
15761343840745376,,6917878030531,趣满果软糖混合果汁21g,,雀巢,休闲零食,糖果类,休闲食品,糖果类,软糖,,3.5,5,上线,不限购,非标品,21
15761343840745134,,6925303791230,统一汤达人海鲜拉面110g,,统一,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,8.5,0,上线,不限购,标品,110
15761343830744976,,6939249402556,龙大肉食香卤凤爪30g,,龙大,休闲零食,即食食品,休闲食品,肉干肉脯,鸡肉类,,2.5,0,上线,不限购,标品,30
