账单日期,商户名称,ele商户ID,饿百商户ID,订单序号,星选订单号,饿了么订单号,业务类型,配送方式,订单类型,订单来源,下单时间,结算金额,用户支付,商户补贴总额,商户补贴-红包,商户补贴-活动,商户补贴-配送费券,商户补贴-配送费活动,商户补贴-商家,商户补贴-礼金,商户补贴-单品券,代理商补贴,配送费,抽拥比例,保底抽拥,实收佣金,菜品,餐盒费,饿了么平台补贴总额,饿了么平台补贴-红包,饿了么平台补贴-活动,饿了么平台补贴-商家,饿了么平台补贴-配送费,饿了么平台补贴-配送费活动,饿了么平台补贴-礼金,冷链加价费,众包呼单费,呼单小费
2020-01-26,易捷便利店（中石化青岛83站店）,305114563,32267322510,1,2123014187676388517,2123014187676388517,正向单,平台物流配送,即时单,饿了么订单,2020-01-26 21:37:41,58.02,64.19,-20.81,0,-18.81,0,-2,0,0,0,0,11.5,10.00,4,-6.67,85,0.5,12,5,7,0,0,0,0,0,0,0
2020-01-23,易捷便利店（中石化青岛83站店）,305114563,32267322510,1,2122980408396103845,2122980408396103845,正向单,平台物流配送,即时单,饿了么订单,2020-01-23 21:53:53,11.5,21.5,0,0,0,0,0,0,0,0,0,6,10.00,4,-4,15,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-26,易捷便利店（中石化青岛56站店）,305114561,32267322504,,2123003701270511781,2123003701270511781,部分退单,,,,2020-01-26 10:51:51,-23.33,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,易捷便利店（中石化青岛56站店）,305114561,32267322504,2,2123003701270511781,2123003701270511781,正向单,平台物流配送,即时单,饿了么订单,2020-01-26 10:09:51,39.33,47.42,-8.08,0,-6.08,0,-2,0,0,0,0,6.5,10.00,4,-4.59,51.5,0.5,3,0,3,0,0,0,0,0,0,0
2020-01-26,易捷便利店（中石化青岛56站店）,305114561,32267322504,1,2123003192392295589,2123003192392295589,正向单,平台物流配送,即时单,饿了么订单,2020-01-26 09:18:13,19.92,30.42,-1.08,0,-1.08,0,0,0,0,0,0,6.5,10.00,4,-4,24.5,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-17,易捷便利店（中石化青岛56站店）,305114561,32267322504,1,2122672063282032805,2122672063282032805,正向单,平台物流配送,即时单,饿了么订单,2020-01-17 09:33:57,31.51,41.01,-9.99,0,-7.99,0,-2,0,0,0,0,8.5,10.00,4,-4,45,0.5,3,0,3,0,0,0,0,0,0,0
2020-01-26,易捷便利店（中石化青岛21站店）,305184521,32267322501,3,2123012299610465447,2123012299610465447,正向单,平台物流配送,即时单,饿了么订单,2020-01-26 19:22:59,366.33,411.26,-35.04,0,-33.04,0,-2,0,0,0,0,12,10.00,4,-40.93,441.8,0.5,8,0,8,0,0,0,0,0,0,0
2020-02-10,易捷便利店（中石化青岛99站店）,305104565,32267322498,1,2123178694914709701,2123178694914709701,正向单,平台物流配送,即时单,饿了么订单,2020-02-10 15:21:45,39.15,43,-5,0,-5,0,0,0,0,0,0,4.5,10.00,4,-4.35,48,0.5,5,5,0,0,0,0,0,0,0,0
2020-01-28,易捷便利店（中石化青岛20站店）,305234499,32267322469,2,2123032966053707958,2123032966053707958,正向单,平台物流配送,即时单,饿了么订单,2020-01-28 14:06:11,26.3,30.8,-10,-3,-5,0,-2,0,0,0,0,7.5,10.00,4,-4,39.8,0.5,7,4,3,0,0,0,0,0,0,0
2020-01-28,易捷便利店（中石化青岛20站店）,305234499,32267322469,1,2123032463928360118,2123032463928360118,正向单,平台物流配送,即时单,饿了么订单,2020-01-28 13:22:55,160.45,176.5,-14,0,-12,0,-2,0,0,0,0,6,10.00,4,-18.05,192,0.5,8,0,8,0,0,0,0,0,0,0
2020-01-27,易捷便利店（中石化青岛20站店）,305234499,32267322469,1,2123018754082408630,2123018754082408630,正向单,平台物流配送,即时单,饿了么订单,2020-01-27 12:48:15,82.8,93.72,-18.28,-3,-13.28,0,-2,0,0,0,0,9.5,10.00,4,-9.42,110,0.5,8,0,8,0,0,0,0,0,0,0
2020-01-24,易捷便利店（中石化青岛20站店）,305234499,32267322469,1,2122984977050270902,2122984977050270902,正向单,平台物流配送,即时单,饿了么订单,2020-01-24 11:55:24,48.85,54.5,-10,0,-8,0,-2,0,0,0,0,7,10.00,4,-5.65,64,0.5,7,0,7,0,0,0,0,0,0,0
2020-01-15,易捷便利店（中石化青岛20站店）,305234499,32267322469,1,2122587542889140406,2122587542889140406,正向单,平台物流配送,即时单,饿了么订单,2020-01-15 17:34:22,35.53,41.2,-37.8,0,-35.8,0,-2,0,0,0,0,4.5,10.00,4,-4.17,77,0.5,3,0,3,0,0,0,0,0,0,0
2020-02-08,易捷便利店（中石化青岛98站店）,305234498,32267322468,1,2123156011866995894,2123156011866995894,正向单,平台物流配送,即时单,饿了么订单,2020-02-08 11:40:12,20.1,28.1,0,0,0,0,0,0,0,0,0,4,10.00,4,-4,23.6,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-27,易捷便利店（中石化青岛98站店）,305234498,32267322468,1,2123016188954966198,2123016188954966198,正向单,平台物流配送,即时单,饿了么订单,2020-01-27 09:53:55,38.09,46.04,-8.56,0,-6.56,0,-2,0,0,0,0,6.5,10.00,4,-4.45,50.6,0.5,3,0,3,0,0,0,0,0,0,0
2020-01-25,易捷便利店（中石化青岛98站店）,305234498,32267322468,,2123001695369771190,2123001695369771190,部分退单,,,,2020-01-25 22:17:36,-24.01,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,易捷便利店（中石化青岛98站店）,305234498,32267322468,1,2123001695369771190,2123001695369771190,正向单,平台物流配送,即时单,饿了么订单,2020-01-25 21:43:00,58.48,58.2,-11.2,0,-9.2,0,-2,0,0,0,0,10,10.00,4,-6.72,75.9,0.5,17,10,7,0,0,0,0,0,0,0
2020-01-20,易捷便利店（中石化青岛98站店）,305234498,32267322468,,2122869005140292790,2122869005140292790,部分退单,,,,2020-01-20 19:30:00,-13.53,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,易捷便利店（中石化青岛98站店）,305234498,32267322468,1,2122869005140292790,2122869005140292790,正向单,平台物流配送,即时单,饿了么订单,2020-01-20 19:12:05,28.9,34.7,-7.6,0,-5.6,0,-2,0,0,0,0,4.8,10.00,4,-4,40,0.5,3,0,3,0,0,0,0,0,0,0
2020-02-08,易捷便利店（中石化青岛66站店）,305234497,32267322467,1,2123154724618298549,2123154724618298549,正向单,平台物流配送,即时单,饿了么订单,2020-02-08 10:08:37,51.75,61.5,-8,0,-8,0,0,0,0,0,0,4,10.00,4,-5.75,65,0.5,0,0,0,0,0,0,0,0,0,0
2020-02-03,易捷便利店（中石化青岛66站店）,305234497,32267322467,1,2123101659995377845,2123101659995377845,正向单,平台物流配送,即时单,饿了么订单,2020-02-03 10:19:18,29.5,37.5,0,0,0,0,0,0,0,0,0,4,10.00,4,-4,33,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-28,易捷便利店（中石化青岛66站店）,305234497,32267322467,1,2123033407051222197,2123033407051222197,正向单,平台物流配送,即时单,饿了么订单,2020-01-28 14:52:29,32.7,42.7,-2.3,0,-0.3,0,-2,0,0,0,0,6,10.00,4,-4,38.5,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-19,易捷便利店（中石化青岛66站店）,305234497,32267322467,1,2122801354095330485,2122801354095330485,正向单,平台物流配送,即时单,饿了么订单,2020-01-19 12:58:52,29.5,35.8,-9,0,-7,0,-2,0,0,0,0,5.3,10.00,4,-4,42,0.5,3,0,3,0,0,0,0,0,0,0
2020-01-16,易捷便利店（中石化青岛66站店）,305234497,32267322467,1,2122638935377254581,2122638935377254581,正向单,平台物流配送,即时单,饿了么订单,2020-01-16 14:43:56,76.75,84.5,-14,0,-12,0,-2,0,0,0,0,7,10.00,4,-8.75,99,0.5,8,0,8,0,0,0,0,0,0,0
2020-02-07,易捷便利店（中石化青岛9站店）,304954604,32267307402,1,2123143876411752534,2123143876411752534,正向单,平台物流配送,预定单,饿了么订单,2020-02-07 02:43:23,38.61,46.9,-5,0,-5,0,0,0,0,0,0,4,10.00,4,-4.29,47.4,0.5,0,0,0,0,0,0,0,0,0,0
2020-02-05,易捷便利店（中石化青岛9站店）,304954604,32267307402,1,2123126425733277782,2123126425733277782,正向单,平台物流配送,即时单,饿了么订单,2020-02-05 13:09:53,55.62,67.3,-11,-3,-8,0,0,0,0,0,0,7.5,10.00,4,-6.18,72.3,0.5,2,2,0,0,0,0,0,0,0,0
2020-01-23,易捷便利店（中石化青岛9站店）,304954604,32267307402,1,2122977453936997462,2122977453936997462,正向单,平台物流配送,即时单,饿了么订单,2020-01-23 19:05:41,24.4,33.9,0,0,0,0,0,0,0,0,0,5.5,10.00,4,-4,27.9,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-18,易捷便利店（中石化青岛9站店）,304954604,32267307402,2,2122774163487770710,2122774163487770710,正向单,平台物流配送,即时单,饿了么订单,2020-01-18 20:57:51,25.5,27.6,-10,-3,-5,0,-2,0,0,0,0,4.8,10.00,4,-4,39,0.5,6.7,3.7,3,0,0,0,0,0,0,0
2020-01-18,易捷便利店（中石化青岛9站店）,304954604,32267307402,1,2122724141631071318,2122724141631071318,正向单,平台物流配送,即时单,饿了么订单,2020-01-18 01:56:56,17,24.3,0,0,0,0,0,0,0,0,0,8.3,10.00,4,-4,20.5,0.5,5,5,0,0,0,0,0,0,0,0
2020-02-11,易捷便利店（中石化青岛1站店）,304904577,32267307385,1,2123186938533930043,2123186938533930043,正向单,平台物流配送,即时单,饿了么订单,2020-02-11 12:41:03,29.5,38.5,-3,0,-3,0,0,0,0,0,0,5,10.00,4,-4,36,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-27,易捷便利店（中石化青岛1站店）,304904577,32267307385,1,2123015771370220603,2123015771370220603,正向单,平台物流配送,即时单,饿了么订单,2020-01-27 09:16:32,55.54,55.93,-14.07,0,-12.07,0,-2,0,0,0,0,8,10.00,4,-6.39,75.5,0.5,14,7,7,0,0,0,0,0,0,0
2020-01-26,易捷便利店（中石化青岛1站店）,304904577,32267307385,2,2123007239862300731,2123007239862300731,正向单,平台物流配送,即时单,饿了么订单,2020-01-26 13:47:49,63.7,70,-14,0,-12,0,-2,0,0,0,0,7,10.00,4,-7.3,84.5,0.5,8,0,8,0,0,0,0,0,0,0
2020-01-16,易捷便利店（中石化青岛1站店）,304904577,32267307385,1,2122657448514915387,2122657448514915387,正向单,平台物流配送,即时单,饿了么订单,2020-01-16 19:27:03,52.45,50.5,-10,0,-8,0,-2,0,0,0,0,4,10.00,4,-6.05,68,0.5,12,5,7,0,0,0,0,0,0,0
2020-01-14,易捷便利店（中石化青岛1站店）,304904577,32267307385,1,2122537596806559803,2122537596806559803,正向单,平台物流配送,即时单,饿了么订单,2020-01-14 19:25:26,18.51,26.51,-4.99,0,-4.99,0,0,0,0,0,0,4,10.00,4,-4,27,0.5,0,0,0,0,0,0,0,0,0,0
2020-02-09,易捷便利店（中石化青岛78站店）,304994616,32267307382,1,2123169438178094303,2123169438178094303,正向单,平台物流配送,即时单,饿了么订单,2020-02-09 17:04:34,32,33,-5,0,-5,0,0,0,0,0,0,4,10.00,4,-4,40.5,0.5,7,7,0,0,0,0,0,0,0,0
2020-02-02,易捷便利店（中石化青岛78站店）,304994616,32267307382,1,2123090822006250719,2123090822006250719,正向单,平台物流配送,即时单,饿了么订单,2020-02-02 11:18:30,26.5,34.5,0,0,0,0,0,0,0,0,0,4,10.00,4,-4,30,0.5,0,0,0,0,0,0,0,0,0,0
2020-02-01,易捷便利店（中石化青岛78站店）,304994616,32267307382,1,2123088422335748319,2123088422335748319,正向单,平台物流配送,即时单,饿了么订单,2020-02-01 22:59:27,54.36,64.9,-11,-3,-8,0,0,0,0,0,0,6.5,10.00,4,-6.04,70.9,0.5,2,2,0,0,0,0,0,0,0,0
2020-01-30,易捷便利店（中石化青岛78站店）,304994616,32267307382,1,2123059761129739487,2123059761129739487,正向单,平台物流配送,即时单,饿了么订单,2020-01-30 17:37:41,32.3,39.3,-17.2,-3,-12.2,0,-2,0,0,0,0,6,10.00,4,-4,53,0.5,3,3,0,0,0,0,0,0,0,0
2020-01-29,易捷便利店（中石化青岛78站店）,304994616,32267307382,1,2123041743045721311,2123041743045721311,正向单,平台物流配送,即时单,饿了么订单,2020-01-29 11:01:08,30,35,-7,0,-5,0,-2,0,0,0,0,4,10.00,4,-4,40.5,0.5,3,0,3,0,0,0,0,0,0,0
2020-01-19,易捷便利店（中石化青岛78站店）,304994616,32267307382,1,2122807038618879199,2122807038618879199,正向单,平台物流配送,即时单,饿了么订单,2020-01-19 15:15:43,28.9,34.7,-7,0,-5,0,-2,0,0,0,0,4.8,10.00,4,-4,39.4,0.5,3,0,3,0,0,0,0,0,0,0
2020-01-18,易捷便利店（中石化青岛78站店）,304994616,32267307382,1,2122755060287058143,2122755060287058143,正向单,平台物流配送,即时单,饿了么订单,2020-01-18 15:50:29,47.95,51.3,-10,0,-8,0,-2,0,0,0,0,4.8,10.00,4,-5.55,63,0.5,7,0,7,0,0,0,0,0,0,0
2020-02-12,易捷便利店（中石化青岛69站店）,304984572,32267307381,1,2123199731941380156,2123199731941380156,正向单,平台物流配送,即时单,饿了么订单,2020-02-12 15:29:22,37.98,42.2,-7.8,0,-7.8,0,0,0,0,0,0,5,10.00,4,-4.22,49.5,0.5,5,5,0,0,0,0,0,0,0,0
2020-02-12,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2123198095575522533,2123198095575522533,正向单,平台物流配送,即时单,饿了么订单,2020-02-12 13:28:17,45.36,52.9,-11.6,-3,-8.6,0,0,0,0,0,0,6.5,10.00,4,-5.04,61.5,0.5,4,4,0,0,0,0,0,0,0,0
2020-02-10,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2123180931225339109,2123180931225339109,正向单,平台物流配送,即时单,饿了么订单,2020-02-10 18:30:14,40.95,46.5,-8,-3,-5,0,0,0,0,0,0,4,10.00,4,-4.55,53,0.5,3,3,0,0,0,0,0,0,0,0
2020-02-04,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2123117229444734181,2123117229444734181,正向单,平台物流配送,即时单,饿了么订单,2020-02-04 15:11:52,33.5,38.5,-8,-3,-5,0,0,0,0,0,0,5,10.00,4,-4,45,0.5,4,4,0,0,0,0,0,0,0,0
2020-01-27,易捷便利店（中石化青岛3站店）,304894673,32267307380,2,2123024462890783973,2123024462890783973,正向单,平台物流配送,即时单,饿了么订单,2020-01-27 18:41:57,20.2,25.7,-0.8,0,-0.8,0,0,0,0,0,0,6.5,10.00,4,-4,24.5,0.5,5,5,0,0,0,0,0,0,0,0
2020-01-26,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2123006207560155365,2123006207560155365,正向单,平台物流配送,即时单,饿了么订单,2020-01-26 12:36:46,37.24,33.6,-7,0,-5,0,-2,0,0,0,0,7,10.00,4,-4.36,48.1,0.5,15,12,3,0,0,0,0,0,0,0
2020-01-25,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2123000186418535653,2123000186418535653,正向单,平台物流配送,即时单,饿了么订单,2020-01-25 19:34:39,55.69,60.6,-13.4,-3,-8.4,0,-2,0,0,0,0,9.5,10.00,4,-6.41,75,0.5,11,4,7,0,0,0,0,0,0,0
2020-01-22,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2122946636959304933,2122946636959304933,正向单,平台物流配送,即时单,饿了么订单,2020-01-22 18:05:21,29,23.5,-7,0,-5,0,-2,0,0,0,0,5.5,10.00,4,-4,39.5,0.5,15,12,3,0,0,0,0,0,0,0
2020-01-21,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2122888483899113701,2122888483899113701,正向单,平台物流配送,即时单,饿了么订单,2020-01-21 11:27:44,56.95,60,-17,-3,-12,0,-2,0,0,0,0,8.5,10.00,4,-6.55,80,0.5,12,4,8,0,0,0,0,0,0,0
2020-01-17,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2122706930505945317,2122706930505945317,正向单,平台物流配送,即时单,饿了么订单,2020-01-17 18:01:15,27.1,28.8,-10,-3,-5,0,-2,0,0,0,0,4.8,10.00,4,-4,40.6,0.5,7.1,3,4.1,0,0,0,0,0,0,0
2020-01-15,易捷便利店（中石化青岛3站店）,304894673,32267307380,1,2122554641048913125,2122554641048913125,正向单,平台物流配送,即时单,饿了么订单,2020-01-15 10:34:16,18.51,27.01,-1.19,0,-1.19,0,0,0,0,0,0,4.5,10.00,4,-4,23.2,0.5,0,0,0,0,0,0,0,0,0,0
2020-02-10,易捷便利店（中石化青岛61站店）,304914679,32267307376,1,2123179070422469644,2123179070422469644,正向单,平台物流配送,即时单,饿了么订单,2020-02-10 16:30:28,19.9,27.9,-3,-3,0,0,0,0,0,0,0,4,10.00,4,-4,26.4,0.5,0,0,0,0,0,0,0,0,0,0
2020-01-28,易捷便利店（中石化青岛61站店）,304914679,32267307376,1,2123037889151415308,2123037889151415308,正向单,平台物流配送,即时单,饿了么订单,2020-01-28 19:38:02,44.35,44.5,-13,-3,-8,0,-2,0,0,0,0,6,10.00,4,-5.15,62,0.5,11,4,7,0,0,0,0,0,0,0
2020-01-13,易捷便利店（中石化青岛61站店）,304914679,32267307376,1,2122460368228025356,2122460368228025356,正向单,平台物流配送,即时单,饿了么订单,2020-01-13 14:31:22,46.15,45.5,-15,0,-13,0,-2,0,0,0,0,6,10.00,4,-5.35,66,0.5,12,5,7,0,0,0,0,0,0,0
2020-02-10,易捷便利店（中石化青岛14站店）,304994615,32267307374,1,2123174339104990431,2123174339104990431,正向单,平台物流配送,即时单,饿了么订单,2020-02-10 10:14:23,31.9,41.4,0,0,0,0,0,0,0,0,0,5.5,10.00,4,-4,35.4,0.5,0,0,0,0,0,0,0,0,0,0
2020-02-06,易捷便利店（中石化青岛14站店）,304994615,32267307374,1,2123138288306945247,2123138288306945247,正向单,平台物流配送,即时单,饿了么订单,2020-02-06 14:29:09,18.8,21.8,0,0,0,0,0,0,0,0,0,4,10.00,4,-4,22.3,0.5,5,5,0,0,0,0,0,0,0,0
2020-01-30,易捷便利店（中石化青岛14站店）,304994615,32267307374,1,2123062182308507871,2123062182308507871,正向单,平台物流配送,即时单,饿了么订单,2020-01-30 20:19:47,96.55,105.5,-14,0,-12,0,-2,0,0,0,0,10,10.00,4,-10.95,121,0.5,12,12,0,0,0,0,0,0,0,0
2020-01-26,易捷便利店（中石化青岛14站店）,304994615,32267307374,1,2123012990143965407,2123012990143965407,正向单,平台物流配送,即时单,饿了么订单,2020-01-26 20:30:17,47.04,42.49,-33.01,0,-31.01,0,-2,0,0,0,0,7,10.00,4,-5.45,85,0.5,17,10,7,0,0,0,0,0,0,0
2020-01-24,易捷便利店（中石化青岛14站店）,304994615,32267307374,1,2122982963364758751,2122982963364758751,正向单,平台物流配送,即时单,饿了么订单,2020-01-24 09:50:59,34.39,38.93,-8.87,0,-6.87,0,-2,0,0,0,0,8.5,10.00,4,-4.04,46.8,0.5,8,5,3,0,0,0,0,0,0,0
2020-01-19,易捷便利店（中石化青岛14站店）,304994615,32267307374,1,2122821169195286751,2122821169195286751,正向单,平台物流配送,即时单,饿了么订单,2020-01-19 19:15:58,38.95,46.8,-7,0,-5,0,-2,0,0,0,0,6.3,10.00,4,-4.55,50,0.5,3,0,3,0,0,0,0,0,0,0
2020-01-15,易捷便利店（中石化青岛14站店）,304994615,32267307374,1,2122579495638705375,2122579495638705375,正向单,平台物流配送,即时单,饿了么订单,2020-01-15 14:54:12,26.7,34.7,0,0,0,0,0,0,0,0,0,4,10.00,4,-4,30.2,0.5,0,0,0,0,0,0,0,0,0,0
